"Page_Index","Order_in_Page","Title","Year","Authors","Publication_Info","Abstract","Link","DOI","Citations","Scholar_Link"
"2","1","A review of autism diagnosis/screening expert system and mobile application","2020","AS Adamu, SEY Abdullahi - 2020 IEEE 2nd International …, 2021","ieeexplore.ieee.org","… Another mobile device reviewed in this work is that of Bardhan et al [23] named Autism Barta… 
of Autism in Bangladesh. The MCHAT tool was translated in Bengali for screening Autism in …","https://ieeexplore.ieee.org/abstract/document/9428833/","","4.0","https://ieeexplore.ieee.org/abstract/document/9428833/"
"2","2","Effectiveness of interventions for children and adolescents with autism spectrum disorder in high-income vs. lower middle-income countries: An overview of systematic …","2022","M Pervin, HU Ahmed, Y Hagmayer - Frontiers in Psychiatry, 2022","frontiersin.org","Frontiers | Effectiveness of interventions for children and adolescents with autism spectrum 
disorder in high-income vs. lower middle-income countries: An overview of systematic …","https://www.frontiersin.org/journals/psychiatry/articles/10.3389/fpsyt.2022.834783/full","10.3389/fpsyt.2022.834783/full","26.0","https://www.frontiersin.org/journals/psychiatry/articles/10.3389/fpsyt.2022.834783/full"
"2","3","Role of gut microbiome in autism spectrum disorder and its therapeutic regulation","2022","MA Taniya, HJ Chung, A Al Mamun, S Alam… - Frontiers in cellular …, 2022","frontiersin.org","… many neurological disorders such as autism. Most autistic patients … and the onset of autism. 
Microbial fermentation of plant-… and find possible treatments for autism. This review integrates …","https://www.frontiersin.org/journals/cellular-and-infection-microbiology/articles/10.3389/fcimb.2022.915701/full?trk=public_post_comment-text","10.3389/fcimb.2022.915701/full","177.0","https://www.frontiersin.org/journals/cellular-and-infection-microbiology/articles/10.3389/fcimb.2022.915701/full?trk=public_post_comment-text"
"2","4","Challenges of caregivers having children with Autism in Kenya: systematic review","2021","BB Masaba, J Taiswa… - Iranian journal of nursing …, 2021","journals.lww.com","Background: Caring for children with Autism Spectrum Disorder (ASD) is demanding, 
especially where access to services and support are inadequate. The present study aimed to …","https://journals.lww.com/jnmr/fulltext/2021/26050/challenges_of_caregivers_having_children_with.1.aspx","","26.0","https://journals.lww.com/jnmr/fulltext/2021/26050/challenges_of_caregivers_having_children_with.1.aspx"
"2","5","Robot-assisted training for children with autism spectrum disorder: a review","2023","MA Islam, MM Hasan, SA Deowan - Journal of Intelligent & Robotic …, 2023","Springer","… An array of developmental disorders known collectively as autism … in training CwASD to 
abate their autism disabilities. This paper … A total of nine traits of autism, intervention sessions …","https://link.springer.com/article/10.1007/s10846-023-01872-9","10.1007/s10846-023-01872-9","19.0","https://link.springer.com/article/10.1007/s10846-023-01872-9"
"2","6","Prevalence of autism spectrum disorder in Asia: A systematic review and meta-analysis","2020","S Qiu, Y Lu, Y Li, J Shi, H Cui, Y Gu, Y Li, W Zhong… - Psychiatry …, 2020","Elsevier","There has been an increased prevalence of the diagnosis of Autism Spectrum Disorder (ASD) 
globally during the last decade. An updated and overall estimate of ASD prevalence in …","https://www.sciencedirect.com/science/article/pii/S0165178119311850","","247.0","https://www.sciencedirect.com/science/article/pii/S0165178119311850"
"2","7","Prevalence of autism spectrum disorders in Asian countries","2023","A Rasool, SH Rasool, M Siddique… - Journal of Society of …, 2023","journalofspark.com","… autism utilized in these studies showed a large amount of variation. There aren't many 
studies on the prevalence of autism … from India, Nepal and Bangladesh. Among South Asian …","https://journalofspark.com/journal/index.php/JSpark/article/view/237","","4.0","https://journalofspark.com/journal/index.php/JSpark/article/view/237"
"2","8","Annual Research Review: Achieving universal health coverage for young children with autism spectrum disorder in low‐and middle‐income countries: A review of …","2021","G Divan, S Bhavnani, K Leadbitter… - Journal of Child …, 2021","Wiley Online Library","… with autism in LAMIC: (a) The social context and family experience for a child with autism, … 
Bangladesh launched its first state-supported autism services in 2010 and established the …","https://acamh.onlinelibrary.wiley.com/doi/abs/10.1111/jcpp.13404","10.1111/jcpp.13404","111.0","https://acamh.onlinelibrary.wiley.com/doi/abs/10.1111/jcpp.13404"
"2","9","Culturally adapted interventions for students with autism: A systematic review.","2025","JTS Palmer, TN Riley - School Psychology, 2025","psycnet.apa.org","… autism, improving the outcomes of minoritized youth and families. Despite an increase in early 
diagnosis of autism … for persons on the autism spectrum remains unexamined. The current …","https://psycnet.apa.org/record/2026-02179-002","","1.0","https://psycnet.apa.org/record/2026-02179-002"
"2","10","Parent education and training for autism spectrum disorders: Scoping the evidence","2020","JJ Dawson-Squibb, EL Davids, AJ Harrison… - …, 2020","journals.sagepub.com","… Empowering families of children with autism spectrum disorder through education and … 
show that the research evidence-base in autism spectrum disorder outside the United States is …","https://journals.sagepub.com/doi/abs/10.1177/1362361319841739","10.1177/1362361319841739","134.0","https://journals.sagepub.com/doi/abs/10.1177/1362361319841739"
"3","1","The characteristics and results of parent training interventions in children with autism spectrum disorder: A systematic review","2022","SH Tabatabaei, H Shahrokhi… - Iranian Journal of …, 2022","pmc.ncbi.nlm.nih.gov","… The prevalence of autism in the world is less than 1%, with a … to know their child is diagnosed 
with autism (5). Parents with … in his book entitled “Autism: Educational and Therapeutic …","https://pmc.ncbi.nlm.nih.gov/articles/PMC9276588/","","15.0","https://pmc.ncbi.nlm.nih.gov/articles/PMC9276588/"
"3","2","The current state of mental healthcare in Bangladesh: part 1–an updated country profile","2021","MT Hasan, T Anwar, E Christopher, S Hossain… - BJPsych …, 2021","cambridge.org","… A systematic review estimated the prevalence of autism spectrum disorders as between 
0.2 and 0.8% in Bangladesh.A 2013 study reported that 25% of adolescents in urban schools …","https://www.cambridge.org/core/journals/bjpsych-international/article/current-state-of-mental-healthcare-in-bangladesh-part-1-an-updated-country-profile/19B7DE453E1ED7B460CC25F29A4897A7","","115.0","https://www.cambridge.org/core/journals/bjpsych-international/article/current-state-of-mental-healthcare-in-bangladesh-part-1-an-updated-country-profile/19B7DE453E1ED7B460CC25F29A4897A7"
"3","3","Cultural adaptations in autism interventions: a systematic review","2025","LR Gómez, C Moncada Cummings… - International Journal …, 2025","Taylor & Francis","… manually searching the Autism Research journal, given its global focus on autism research. 
… Autism Spectrum Disorders, Journal of Autism and Developmental Disabilities, and Autism …","https://www.tandfonline.com/doi/abs/10.1080/20473869.2025.2511660","10.1080/20473869.2025.2511660","","https://www.tandfonline.com/doi/abs/10.1080/20473869.2025.2511660"
"3","4","Racial disparities in autism diagnosis, assessment, and intervention among minoritized youth: Sociocultural issues, factors, and context","2023","AV Pham, LC Charles - Current Psychiatry Reports, 2023","Springer","Purpose of Review Despite the increasing prevalence of autism spectrum disorder (ASD) 
among youth, disparities exist when it comes to access to diagnostic assessment and …","https://link.springer.com/article/10.1007/s11920-023-01417-9","10.1007/s11920-023-01417-9","45.0","https://link.springer.com/article/10.1007/s11920-023-01417-9"
"3","5","Age of machine learning: new trends in autism spectrum disorder prediction","2025","W Xu, H Li, J Li, M Jin - Frontiers in Microbiology, 2025","frontiersin.org","… National library of medicine (ClinVar), autism research community focusing on genes 
implicated in autism susceptibility (SFARI Gene), and Autism informatics portal (AutDB). Through …","https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2025.1492484/abstract","10.3389/fmicb.2025.1492484/abstract","","https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2025.1492484/abstract"
"3","6","The association between threatened abortion and the risk of autism Spectrum disorders among children: a meta‐analysis","2023","M Ahmadvand, F Eghbalian… - BioMed Research …, 2023","Wiley Online Library","Background. The current study is aimed at updating the observational studies on the relationship 
between threatened abortion and the risk of ASD. Methods. The search keywords were …","https://onlinelibrary.wiley.com/doi/abs/10.1155/2023/5249585","10.1155/2023/5249585","5.0","https://onlinelibrary.wiley.com/doi/abs/10.1155/2023/5249585"
"3","7","Screening and diagnostic tools for autism spectrum disorder utilized in the Indian Subcontinent: a scoping review","2024","N Taufiq, GK McKeithan - International Journal of Developmental …, 2024","Taylor & Francis","Autism Spectrum Disorder (ASD) identification procedures vary across countries. The purpose 
of this study is to review the screening and diagnostic procedures for ASD in one of the …","https://www.tandfonline.com/doi/abs/10.1080/20473869.2024.2385574","10.1080/20473869.2024.2385574","1.0","https://www.tandfonline.com/doi/abs/10.1080/20473869.2024.2385574"
"3","8","The development of the Helping your Anxious Child programme: a parent-mediated group intervention for parents of autistic children in South Asia","2024","C Kittridge, P Rob, A Fisher-Rogers, T Anis… - BJPsych …, 2024","cambridge.org","… clinicians, researchers and parents in Bangladesh and Sri Lanka, we … in autism is particularly 
complex and may include autism-… Anxiety in autism has also been identified as a research …","https://www.cambridge.org/core/journals/bjpsych-international/article/development-of-the-helping-your-anxious-child-programme-a-parentmediated-group-intervention-for-parents-of-autistic-children-in-south-asia/702C3BA3382AC041EFCAD4DA33312683","","1.0","https://www.cambridge.org/core/journals/bjpsych-international/article/development-of-the-helping-your-anxious-child-programme-a-parentmediated-group-intervention-for-parents-of-autistic-children-in-south-asia/702C3BA3382AC041EFCAD4DA33312683"
"3","9","Understanding the Challenges and Stressors Faced by the Parents of Children with Autism Spectrum Disorder: A Narrative Review.","2024","N Narula, PN Kumar - Journal of Clinical & Diagnostic Research, 2024","researchgate.net","… As per a recent study, it was found that approximately 78 million people worldwide are 
affected by autism, and the impact of this condition on individuals as well as, their families is …","https://www.researchgate.net/profile/Neelam-Narula/publication/384207661_Understanding_the_Challenges_and_Stressors_Faced_by_the_Parents_of_Children_with_Autism_Spectrum_Disorder_A_Narrative_Review/links/6723cdef5852dd723ca0879c/Understanding-the-Challenges-and-Stressors-Faced-by-the-Parents-of-Children-with-Autism-Spectrum-Disorder-A-Narrative-Review.pdf","","1.0","https://www.researchgate.net/profile/Neelam-Narula/publication/384207661_Understanding_the_Challenges_and_Stressors_Faced_by_the_Parents_of_Children_with_Autism_Spectrum_Disorder_A_Narrative_Review/links/6723cdef5852dd723ca0879c/Understanding-the-Challenges-and-Stressors-Faced-by-the-Parents-of-Children-with-Autism-Spectrum-Disorder-A-Narrative-Review.pdf"
"3","10","Epidemiology of autism spectrum disorders: a review of worldwide prevalence estimates since 2014","2020","F Chiarotti, A Venerosi - Brain sciences, 2020","mdpi.com","… The prevalence of Autism Spectrum Disorder (ASD) has increased dramatically in recent 
decades, supporting the claim of an autism epidemic. Systematic monitoring of ASD allows …","https://www.mdpi.com/2076-3425/10/5/274","","787.0","https://www.mdpi.com/2076-3425/10/5/274"
"4","1","Evaluation of Autism Diagnostic Tools among Young Children: A Systematic Review","2021","ASM Sarwar, KSB Razzak, A Bushra, MN Hossain…","2021 - researchgate.net","… There is often nothing about how people with Autism … Autism diagnostic tools can play a 
significant role in the early … The main objective of this study was to evaluate autism diagnostic …","https://www.researchgate.net/profile/Khandaker-Razzak-2/publication/349848894_Evaluation_of_Autism_Diagnostic_Tools_among_Young_Children_A_Systematic_Review/links/6043b60e4585154e8c808fe0/Evaluation-of-Autism-Diagnostic-Tools-among-Young-Children-A-Systematic-Review.pdf","","","https://www.researchgate.net/profile/Khandaker-Razzak-2/publication/349848894_Evaluation_of_Autism_Diagnostic_Tools_among_Young_Children_A_Systematic_Review/links/6043b60e4585154e8c808fe0/Evaluation-of-Autism-Diagnostic-Tools-among-Young-Children-A-Systematic-Review.pdf"
"4","2","A review of and roadmap for data science and machine learning for the neuropsychiatric phenotype of autism","2023","P Washington, DP Wall - Annual review of biomedical data …, 2023","annualreviews.org","… This pipeline was replicated in 50 neurotypical children and 50 children with autism from 
Bangladesh, achieving an AUC of 85% (65) and demonstrating that this method has the …","https://www.annualreviews.org/content/journals/10.1146/annurev-biodatasci-020722-125454","10.1146/annurev-biodatasci-020722-125454","50.0","https://www.annualreviews.org/content/journals/10.1146/annurev-biodatasci-020722-125454"
"4","3","Disability brief in single chapter and bangladesh perspectives: a rapid overview","2020","M Haque - Advances in Human Biology, 2020","journals.lww.com","… in Bangladesh. The various types of disabilities considered by the legal frameworks of 
Bangladesh. … of persons with disabilities in Bangladesh and the economic costs of disability in …","https://journals.lww.com/adhb/fulltext/2020/10020/Disability_Brief_in_Single_Chapter_and_Bangladesh.3.aspx","","12.0","https://journals.lww.com/adhb/fulltext/2020/10020/Disability_Brief_in_Single_Chapter_and_Bangladesh.3.aspx"
"4","4","Prenatal Diabetes and Obesity: Implications for Autism Spectrum Disorders in Offspring–A Comprehensive Review","2024","J Michalczyk, A Miłosz, M Gesek… - Medical Science Monitor …, 2024","pmc.ncbi.nlm.nih.gov","… in Bangladesh of 385 children aged 2 to 18 years in 22 schools for children with autism 
confirmed … diseases in pregnancy, such as diabetes, on the incidence of autism in children [49]. …","https://pmc.ncbi.nlm.nih.gov/articles/PMC11351376/","","4.0","https://pmc.ncbi.nlm.nih.gov/articles/PMC11351376/"
"4","5","Neurodevelopmental Disorders (NDDs) in Children: Role of Maternal Factors","2022","LAM Banu, FMA Haque, S Tasnim - Bangladesh Journal of Obstetrics …, 2022","banglajol.info","… Common neurodevelopmental disorders in children include autism spectrum disease (ASD), 
attention deficit hyperactivity disorder (ADHD), cerebral palsy (CP), intellectual disability (ID)…","https://banglajol.info/index.php/BJOG/article/view/69033","","2.0","https://banglajol.info/index.php/BJOG/article/view/69033"
"4","6","Autism spectrum disorder (ASD) among children under 7 years in developing countries: literature review","2024","A Joshi","2024 - theseus.fi","… Socio-economic and demographic risk factors of autism spectrum disorder among children 
and adolescents in Bangladesh: Evidence from a cross-sectional study in 2022. PloS One, 18…","https://www.theseus.fi/handle/10024/857176","","","https://www.theseus.fi/handle/10024/857176"
"4","7","A systematic review of remote telehealth assessments for early signs of autism spectrum disorder: Video and mobile applications.","2020","AV Dahiya, C McDonnell, E DeLucia… - Practice Innovations, 2020","psycnet.apa.org","Autism spectrum disorder (ASD) impacts an individual’s developmental trajectory across 
several domains, supporting the importance of early detection and identification, which is …","https://psycnet.apa.org/fulltext/2020-37308-001.html","","86.0","https://psycnet.apa.org/fulltext/2020-37308-001.html"
"4","8","Global prevalence of autism spectrum disorder and its gastrointestinal symptoms: A systematic review and meta-analysis","2022","J Wang, B Ma, J Wang, Z Zhang, O Chen - Frontiers in Psychiatry, 2022","frontiersin.org","Background Autism spectrum disorder (ASD) is a severe public health concern, and 
Gastrointestinal (GI) symptoms are becoming more common among co-morbidities. The evidence …","https://www.frontiersin.org/articles/10.3389/fpsyt.2022.963102/full","10.3389/fpsyt.2022.963102/full","67.0","https://www.frontiersin.org/articles/10.3389/fpsyt.2022.963102/full"
"4","9","Autism detection based on MRI images using Deep Learning","2023","S Mostafa, Z Karim, MI Hossain - 2023 26th International …, 2023","ieeexplore.ieee.org","… gene that can detect autism. Doctors still use outdated methods to identify autism nowadays. 
In order to tackle this issue and facilitate the diagnosis of autism, we employed deep …","https://ieeexplore.ieee.org/abstract/document/10441006/","","7.0","https://ieeexplore.ieee.org/abstract/document/10441006/"
"4","10","The effectiveness of parent training interventions in autism spectrum disorder: A systematic review","2020","SH Tabatabaei, H Shahrokhi, K Gholipour, S Izadi…","2020 - scholar.archive.org","… Lessons learned while developing, adapting and implementing a pilot parent-mediated 
behavioural intervention for children with autism spectrum disorder in rural Bangladesh. …","https://scholar.archive.org/work/nfcyn3er2vak5lq7zuoox5jwpe/access/wayback/https://assets.researchsquare.com/files/rs-77034/v1/8c1973ab-9bf6-4949-a530-5ed4c83a9929.pdf","","2.0","https://scholar.archive.org/work/nfcyn3er2vak5lq7zuoox5jwpe/access/wayback/https://assets.researchsquare.com/files/rs-77034/v1/8c1973ab-9bf6-4949-a530-5ed4c83a9929.pdf"
"5","1","What is autism?","2021","P Joon, A Kumar, M Parle - Pharmacological reports, 2021","Springer","… Autism spectrum disorder encompasses disorders previously referred to as early infantile 
autism, childhood autism, Kanner’s autism, high-functioning autism, atypical autism, pervasive …","https://link.springer.com/article/10.1007/s43440-021-00244-0","10.1007/s43440-021-00244-0","108.0","https://link.springer.com/article/10.1007/s43440-021-00244-0"
"5","2","The global prevalence of autism spectrum disorder: a comprehensive systematic review and meta-analysis","2022","N Salari, S Rasoulpoor, S Rasoulpoor… - Italian journal of …, 2022","Springer","… The autism spectrum encompasses a range of disorders, including Autistic disorder, Rett … 
Autism spectrum disorder is associated with high levels of anxiety, stress, and isolation in …","https://link.springer.com/article/10.1186/s13052-022-01310-w","10.1186/s13052-022-01310-w","601.0","https://link.springer.com/article/10.1186/s13052-022-01310-w"
"5","3","Provider attitudes toward evidence-based practice in autism: a mini-review","2024","EA DeLucia, SM Harden, A Scarpa - Frontiers in Child and …, 2024","frontiersin.org","… However, individuals on the autism spectrum are consistently underserved in mental health 
settings, limiting their access to these EBPs. Positive provider attitudes toward EBPs may …","https://www.frontiersin.org/journals/child-and-adolescent-psychiatry/articles/10.3389/frcha.2024.1363532/full","10.3389/frcha.2024.1363532/full","","https://www.frontiersin.org/journals/child-and-adolescent-psychiatry/articles/10.3389/frcha.2024.1363532/full"
"5","4","Early identification of autism spectrum disorder (ASD): strategies for use in local communities","2023","R Choueiri, WT Garrison, V Tokatli - Indian journal of pediatrics, 2023","Springer","Early diagnosis of autism spectrum disorder (ASD) is essential for improved outcomes. 
There is a paucity of data on the prevalence of ASD in low- and middle-income countries (LMIC), …","https://link.springer.com/article/10.1007/s12098-022-04172-6","10.1007/s12098-022-04172-6","33.0","https://link.springer.com/article/10.1007/s12098-022-04172-6"
"5","5","Deep learning approach to predict autism spectrum disorder: a systematic review and meta-analysis","2024","Y Ding, H Zhang, T Qiu - BMC psychiatry, 2024","Springer","… the causes of autism, as well as to detect autism early and give behavioral developmental 
therapy choices for those with autism, as the number of children with autism has been rising …","https://link.springer.com/article/10.1186/s12888-024-06116-0","10.1186/s12888-024-06116-0","24.0","https://link.springer.com/article/10.1186/s12888-024-06116-0"
"5","6","Role of metallic pollutants in neurodegeneration: effects of aluminum, lead, mercury, and arsenic in mediating brain impairment events and autism spectrum disorder","2021","I Kaur, T Behl, L Aleya, MH Rahman, A Kumar… - … Science and Pollution …, 2021","Springer","… Autism spectrum disorder (ASD) refers to the series of brain developmental pathologies, … 
, and diagnostic portfolio, where atypical autism accounts for communication and interaction …","https://link.springer.com/article/10.1007/S11356-020-12255-0","10.1007/S11356-020-12255-0","77.0","https://link.springer.com/article/10.1007/S11356-020-12255-0"
"5","7","Preconception and gestational versus postnatal exposure to air pollutants and risk of autism spectrum disorder: a systematic review and meta-analysis","2025","MA Mamun, F Al-Mamun, N Roy, A Raquib… - International archives of …, 2025","Springer","… Autism Spectrum Disorder (ASD) is characterized by impaired social communication, and 
repetitive sensory-motor behaviors, along with a multitude of other psychiatric and somatic …","https://link.springer.com/article/10.1007/s00420-024-02112-9","10.1007/s00420-024-02112-9","1.0","https://link.springer.com/article/10.1007/s00420-024-02112-9"
"5","8","The global prevalence of autism spectrum disorder in children: a systematic review and meta-analysis","2025","A Issac, K Halemani, A Shetty… - … Public Health and …, 2025","pmc.ncbi.nlm.nih.gov","… Bangladesh. CHAT The study found that 0.075% of children were diagnosed with ASD in rural 
areas of Bangladesh… Autism quotient-10 The study revealed that 14 students scored more …","https://pmc.ncbi.nlm.nih.gov/articles/PMC11917377/","","22.0","https://pmc.ncbi.nlm.nih.gov/articles/PMC11917377/"
"5","9","Genetics of structural and functional brain changes in autism spectrum disorder","2020","S Hashem, S Nisar, AA Bhat, SK Yadav… - Translational …, 2020","nature.com","… are involved in autism 14,15 . On the other hand, the main variants associated with autism 16 
are yet … understanding of autism which can aid in the clinical treatment of patients with ASD. …","https://www.nature.com/articles/s41398-020-00921-3","","177.0","https://www.nature.com/articles/s41398-020-00921-3"
"5","10","Features of mobile apps for people with autism in a post COVID-19 scenario: Current status and recommendations for apps using AI","2021","IU Rehman, D Sobnath, MM Nasralla, M Winnett… - Diagnostics, 2021","mdpi.com","… these unprecedented conditions, such as those with Autism Spectrum Disorder (ASD). These 
… In this study, 250 mobile apps have been retrieved using keywords such as autism, autism …","https://www.mdpi.com/2075-4418/11/10/1923","","81.0","https://www.mdpi.com/2075-4418/11/10/1923"
"6","1","Rights and protection of persons with disabilities in Bangladesh: A critical review","2021","MA Islam, SF Juhara - … Journal of Research and Innovation in …, 2021","researchgate.net","… concerning disability rights in Bangladesh with a view to … regulating disability rights in 
Bangladesh is not well structured … mechanism is indispensable for Bangladesh to enforce the …","https://www.researchgate.net/profile/Md-Asraful-Islam-5/publication/349372484_Rights_and_Protection_of_Persons_with_Disabilities_in_Bangladesh_A_Critical_Review/links/621e87b30cbbf132bef01e85/Rights-and-Protection-of-Persons-with-Disabilities-in-Bangladesh-A-Critical-Review.pdf","","7.0","https://www.researchgate.net/profile/Md-Asraful-Islam-5/publication/349372484_Rights_and_Protection_of_Persons_with_Disabilities_in_Bangladesh_A_Critical_Review/links/621e87b30cbbf132bef01e85/Rights-and-Protection-of-Persons-with-Disabilities-in-Bangladesh-A-Critical-Review.pdf"
"6","2","Association with Maternal Age and Autism Spectrum Disorder in Pediatrics: A Systematic Review","2024","EY Zarb - Journal of International Crisis and Risk …, 2024","search.proquest.com","… focus of most credible neurodevelopmental hypotheses of autism [5]. Nonetheless, there is 
… the connection between autism and older mothers. First, a correlation between autism and …","https://search.proquest.com/openview/657b6aecc02be2c2f462d7ee7f71e919/1?pq-origsite=gscholar&cbl=6480378","","","https://search.proquest.com/openview/657b6aecc02be2c2f462d7ee7f71e919/1?pq-origsite=gscholar&cbl=6480378"
"6","3","The global prevalence of autism spectrum disorder: A three-level meta-analysis","2023","OI Talantseva, RS Romanova, EM Shurdova… - Frontiers in …, 2023","frontiersin.org","Autism spectrum disorder (ASD) is one the most disabling developmental disorders, imposing 
an extremely high economic burden. Obtaining as accurate prevalence estimates as …","https://www.frontiersin.org/articles/10.3389/fpsyt.2023.1071181/full","10.3389/fpsyt.2023.1071181/full","270.0","https://www.frontiersin.org/articles/10.3389/fpsyt.2023.1071181/full"
"6","4","Applicability of artificial intelligence in monitoring and improving educational performance in children with autism: a narrative review","2025","R Khan, S Yeasmin, MKK Rony, S Das… - International Journal …, 2025","Taylor & Francis","… application of AI for autism or general special education contexts, without focusing specifically 
on educational performance monitoring in children with autism. Moreover, unlike earlier …","https://www.tandfonline.com/doi/abs/10.1080/20473869.2025.2562953","10.1080/20473869.2025.2562953","","https://www.tandfonline.com/doi/abs/10.1080/20473869.2025.2562953"
"6","5","Adverse childhood experiences and autism: a meta-analysis","2024","G Hartley, F Sirois, J Purrington… - Trauma, Violence, & …, 2024","journals.sagepub.com","… ) aimed to quantify the association of autism and ACEs. Eight … relationship between a diagnosis 
of autism and ACEs. A total … “people with autism,” separates autism from personhood and …","https://journals.sagepub.com/doi/abs/10.1177/15248380231213314","10.1177/15248380231213314","54.0","https://journals.sagepub.com/doi/abs/10.1177/15248380231213314"
